অতিবাহিতকরা,verb
অত্যাচারকরা,verb
অনুসরণকরা,verb
অবগতথাকা,verb
অবরোধকরা,verb
অবস্হিত,verb
অভিষেককরা,verb
অস্ত,verb
অস্ত্রসজ্জিত,verb
অংশান,verb
আইস,verb
আউটান,verb
আউটে,verb
আউটেছ,verb
আউটেছি,verb
আউটেছিল,verb
আউটেছিলাম,verb
আউটেছিলি,verb
আউটেছিলুম,verb
আউটেছিলে,verb
আউটেছিলেন,verb
আউটেছিলেম,verb
আউটেছিস,verb
আউটেছে,verb
আউটেছেন,verb
আউটো,verb
আউড়ে,verb
আউড়েছ,verb
আউড়েছি,verb
আউড়েছিল,verb
আউড়েছিলাম,verb
আউড়েছিলি,verb
আউড়েছিলুম,verb
আউড়েছিলে,verb
আউড়েছিলেন,verb
আউড়েছিলেম,verb
আউড়েছিস,verb
আউড়েছে,verb
আউড়েছেন,verb
আউড়ো,verb
আউরে,verb
আউরেছ,verb
আউরেছি,verb
আউরেছিল,verb
আউরেছিলাম,verb
আউরেছিলি,verb
আউরেছিলুম,verb
আউরেছিলে,verb
আউরেছিলেন,verb
আউরেছিলেম,verb
আউরেছিস,verb
আউরেছে,verb
আউরেছেন,verb
আউরো,verb
আওটা,verb
আওটাই,verb
আওটাইও,verb
আওটাইত,verb
আওটাইতাম,verb
আওটাইতিস,verb
আওটাইতে,verb
আওটাইতেছ,verb
আওটাইতেছি,verb
আওটাইতেছিল,verb
আওটাইতেছিলাম,verb
আওটাইতেছিলি,verb
আওটাইতেছিলে,verb
আওটাইতেছিলেন,verb
আওটাইতেছিস,verb
আওটাইতেছে,verb
আওটাইতেছেন,verb
আওটাইতেন,verb
আওটাইব,verb
আওটাইবার,verb
আওটাইবি,verb
আওটাইবে,verb
আওটাইবেন,verb
আওটাইয়া,verb
আওটাইয়াছ,verb
আওটাইয়াছি,verb
আওটাইয়াছিল,verb
আওটাইয়াছিলাম,verb
আওটাইয়াছিলি,verb
আওটাইয়াছিলে,verb
আওটাইয়াছিলেন,verb
আওটাইয়াছিস,verb
আওটাইয়াছে,verb
আওটাইয়াছেন,verb
আওটাইয়ো,verb
আওটাইল,verb
আওটাইলাম,verb
আওটাইলি,verb
আওটাইলে,verb
আওটাইলেন,verb
আওটাও,verb
আওটাক,verb
আওটাচ্ছ,verb
আওটাচ্ছি,verb
আওটাচ্ছিল,verb
আওটাচ্ছিলাম,verb
আওটাচ্ছিলি,verb
আওটাচ্ছিলুম,verb
আওটাচ্ছিলে,verb
আওটাচ্ছিলেন,verb
আওটাচ্ছিলেম,verb
আওটাচ্ছিস,verb
আওটাচ্ছে,verb
আওটাচ্ছেন,verb
আওটাত,verb
আওটাতাম,verb
আওটাতিস,verb
আওটাতুম,verb
আওটাতে,verb
আওটাতেন,verb
আওটাতেম,verb
আওটান,verb
আওটানো,verb
আওটাব,verb
আওটাবার,verb
আওটাবি,verb
আওটাবে,verb
আওটাবেন,verb
আওটাবো,verb
আওটায়,verb
আওটাল,verb
আওটালাম,verb
আওটালি,verb
আওটালুম,verb
আওটালে,verb
আওটালেন,verb
আওটালেম,verb
আওটাস,verb
আওড়া,verb
আওড়াই,verb
আওড়াইও,verb
আওড়াইত,verb
আওড়াইতাম,verb
আওড়াইতিস,verb
আওড়াইতে,verb
আওড়াইতেছ,verb
আওড়াইতেছি,verb
আওড়াইতেছিল,verb
আওড়াইতেছিলাম,verb
আওড়াইতেছিলি,verb
আওড়াইতেছিলে,verb
আওড়াইতেছিলেন,verb
আওড়াইতেছিস,verb
আওড়াইতেছে,verb
আওড়াইতেছেন,verb
আওড়াইতেন,verb
আওড়াইব,verb
আওড়াইবার,verb
আওড়াইবি,verb
আওড়াইবে,verb
আওড়াইবেন,verb
আওড়াইয়া,verb
আওড়াইয়াছ,verb
আওড়াইয়াছি,verb
আওড়াইয়াছিল,verb
আওড়াইয়াছিলাম,verb
আওড়াইয়াছিলি,verb
আওড়াইয়াছিলে,verb
আওড়াইয়াছিলেন,verb
আওড়াইয়াছিস,verb
আওড়াইয়াছে,verb
আওড়াইয়াছেন,verb
আওড়াইয়ো,verb
আওড়াইল,verb
আওড়াইলাম,verb
আওড়াইলি,verb
আওড়াইলে,verb
আওড়াইলেন,verb
আওড়াও,verb
আওড়াক,verb
আওড়াচ্ছ,verb
