অ,adjective
অআ,noun
অই,noun
অইছে,adjective
অইছন,adjective
অইন,noun
অইরান,adjective
অইল,noun
অউপকারী,noun
অুনন্মত,adjective
অঋজু,adjective
অঋণ,noun
অঋণী,adjective
অওঘর্ষণ,noun
অওরো,noun
অকাজ,noun
অকাজের,adjective
অকাট,adjective
অকাট্য,adverb
অকাঠিন্য,noun
অকাণ্ড,adjective
অকাতর,adverb
অকাতরে,adverb
অকাপট্য,noun
অকাম,adjective
অকামিক,noun
অকাম্য,adjective
অকায়,adjective
অকায়,adjective
অকার,noun
অকারান্ত,adjective
অকারণ,adjective
অকারণে,adverb
অকার্য,adjective
অকার্যকারী,adjective
অকার্যকর,adverb
অকার্য্য,noun
অকাল,noun
অকালি,noun
অকালিক,adjective
অকালী,noun
অকালীন,adjective
অকালে,adverb
অকালকুষ্মাণ্ড,noun
অকালকুসুম,noun
অকালজ,adjective
অকালজাত,adjective
অকালজলদোদয়,noun
অকালজলদোদয়,noun
অকালপক্ক,adjective
অকালপক্কতা,noun
অকালপক্ব,adjective
অকালপক্বতা,noun
অকালবার্ধক্য,noun
অকালবৃদ্ধ,adverb
অকালবৃষ্টি,noun
অকালবোধন,noun
অকালবর্ষণ,noun
অকালমৃতু্য,noun
অকালমৃত্যু,noun
অকাল্পনিক,adjective
অকিঙচিত,adverb
অকিঙচিতকর,adverb
অকিঙচন,adverb
অকিঙচনতা,noun
অকিঙচনত্ব,noun
অকিঞ্চিৎ,adjective
অকিঞ্চিৎকর,adjective
অকিঞ্চন,adjective
অকিঞ্চনতা,noun
অকিল্বিষ,noun
অকিল্মিষ,adjective
অকীক,noun
অকীতির্ত,adjective
অকীর্তি,noun
অকীর্তিকর,adjective
অকীর্তিত,adjective
অকু,noun
অকুআৎ,noun
অকুটিল,adjective
অকুণ্ঠ,adjective
অকুণ্ঠিত,adverb
অকুণ্ঠিতচিত্তে,adverb
অকুণ্ঠচিত্তে,adverb
অকুতোভয়,noun
অকুতোভয়তা,noun
অকুতোভয়,adverb
অকুতোভয়ে,adverb
অকুতোভয়তা,noun
অকুপ্য,noun
অকুফ,noun
অকুব,adjective
অকুমার,noun
অকুমারী,noun
অকুল,noun
অকুলান,noun
অকুলীন,adjective
অকুলন,noun
অকুশল,adjective
অকুস্থান,noun
অকুস্থল,noun
অকূপার,noun
অকূল,adjective
অকূলপাথার,noun
অকৃত,adjective
অকৃতাপরাধ,adjective
অকৃতার্থ,adjective
অকৃতি,noun
অকৃতিত্ব,noun
অকৃতী,adjective
